DIN;Format d'acq.;Unité Fmt;Nom;Dosage;Forme;Catégorie
97799075;1;UN                            ;FREESTYLE LIBRE 2 CAPTEUR     ;               ;GLUCO.      ;
55033214;1;UN                            ;FREESTYLE LIBRE 2 FLASH       ;LECTEUR        ;GLUCO.      ;
1111120;1;UN                            ;FREESTYLE LIBRE 3 LECTEUR     ;               ;GLUCO.      ;
99114518;1;UN                            ;FREESTYLE LIBRE 3 PLUS CAPTEUR;               ;GLUCO.      ;
97799632;1;UN                            ;FREESTYLE LITE                ;70417-03       ;GLUCO.      ;
55047528;3,5;G                             ;SYSTANE OINTMENT              ;SOUL.NOCTURNE  ;ONG OPHT    ;
2498073;30;CO/CAPS                       ;ITULATEK                      ;12 UI          ;CO SL       ;
99101124;10;ML                            ;POLYVALENT POLLENS NON-STAND. ;(10ML) ACARIENS;SOL INJ     ;
55009954;1;UN                            ;AMG PHYSIO L.ESSENTIA         ;106-930        ;TENSI.      ;
55555564;1;UN                            ;CONTOUR NEXT GEN              ;GLYCEMIE       ;GLUCO.      ;
55555564;1;UN                            ;CONTOUR NEXT GEN              ;GLYCEMIE ENS.  ;GLUCO.      ;
55555559;1;UN                            ;CONTOUR NEXT ONE              ;GLYCEMIE       ;GLUCO.      ;
832138;450;ML                            ;DEXIDIN DETERGENT             ;2%;LIQ         ;
2260557;15;CO/CAPS                       ;CLARITIN ALL.+SINUS           ;10MG-240MG X-F ;CAPLET      ;
99100517;100;UN                            ;B.D. AUTOSHIELD #329505       ;30G 5MM        ;AIG         ;
99005077;100;UN                            ;B.D. ECLIPSE #305767          ;"25G 1 1/2""     ";AIG         ;
99101335;100;UN                            ;B.D. INTEGRA #305271 RETRACT. ;"3ML 23G 1""     ";SER         ;
99002205;100;UN                            ;B.D. LUER-LOK #309577         ;"3ML 21G 1 1/2"" ";SER         ;
99002205;100;UN                            ;B.D. LUER-LOK #309582         ;"3ML 25G 1 1/2"" ";SER         ;
99100499;30;UN                            ;B.D. POSIFLUSH SP #306592     ;NACL 0.9% 10ML ;SER INJ     ;
99002345;100;UN                            ;B.D. PRECISION GLIDE #309626  ;"1ML 25G 5/8""   ";SER         ;
99101194;100;UN                            ;B.D. PRECISIONGL.#305122      ;"25G 5/8""       ";AIG         ;
80118645;30;CO/CAPS                       ;FERAMAX PD MAINTENANCE 45     ;ORANGE         ;CO CROQ     ;
80039889;10;UN                            ;REPAGYN                       ;SUPP.VAGINAUX  ;OV          ;
55689235;1;UN                            ;HYPAFIX #7144301              ;5CMX10M        ;RUBAN       ;
55689231;1;UN                            ;HYPAFIX #7144302              ;10CMX10M       ;RUBAN       ;
55014163;10;ML                            ;HYLO                          ;1MG/ML         ;GTE OPHT    ;
55014164;10;CO/CAPS                       ;HYLO                          ;2MG/ML         ;GEL OPHT    ;
55033155;10;ML                            ;HYLO DUAL INTENSE             ;               ;GTE OPHT    ;
55017306;10;ML                            ;HYLO-DUAL                     ;SANS PHOSPHATE ;GTE OPHT    ;
55015544;5;G                             ;OCUNOX                        ;A/VITAMINE A   ;ONG OPHT    ;
99100593;6;UN                            ;ACTICOAT FLEX 3 #66800432     ;40X40CM        ;PAN         ;
99100495;24;UN                            ;ADAPTIC NON-ADH.#2015         ;7.6X20.3CM     ;PAN         ;
960330;50;UN                            ;BACTIGRAS #7456               ;5X5CM 0.5%     ;PAN         ;
433497;10;UN                            ;BACTIGRAS #7457               ;10X10CM 0.5%   ;PAN         ;
99100098;25;G                             ;IODOSORB                      ;               ;PATE        ;
99100098;30;G                             ;IODOSORB                      ;               ;PATE        ;
99100099;40;G                             ;IODOSORB #66060630 (4X10G)    ;               ;ONG TOP     ;
99100099;40;G                             ;IODOSORB #66060631 (2X20G)    ;               ;ONG TOP     ;
99100099;40;G                             ;IODOSORB #66060632 (40G)      ;               ;ONG TOP     ;
55689228;100;UN                            ;OPSITE FLEXIGRID #4628        ;6X7CM          ;PAN         ;
55813401;1;UN                            ;PRIMAPORE #7135               ;8.3X6CM        ;PAN         ;
99100612;10;UN                            ;BIATAIN ADH.MOUSSE #3430      ;10X10 CM       ;PAN         ;
99100135;10;UN                            ;BIATAIN N.ADH.MOUSSE #3410    ;10X10 CM       ;PAN         ;
99100571;5;UN                            ;BIATAIN N.ADH.MOUSSE #3413    ;15X15 CM       ;PAN         ;
99100820;10;UN                            ;BIATAIN SILICONE #33435       ;10X10 CM       ;PAN         ;
99101211;10;UN                            ;BIATAIN SILICONE LITE #33444  ;7.5X7.5 CM     ;PAN         ;
99100952;10;UN                            ;BIATAIN SILICONE LITE #33445  ;10X10 CM       ;PAN         ;
55193031;170;G                             ;COLOPLAST #1967 TRIAD PATE    ;HYDROPHILE     ;PATE STOMIE ;
99001705;5;UN                            ;CONVATEC #403770 AQUACEL HYDRO;2X45 CM        ;MECHE       ;
99101231;10;UN                            ;CONVATEC #413566 AQUACEL AG+  ;EXTRA 5X5 CM   ;PAN         ;
99101228;10;UN                            ;CONVATEC #413567 AQUACEL AG+  ;EXTRA 10X10 CM ;PAN         ;
99101229;5;UN                            ;CONVATEC #413568 AQUACEL AG+  ;15X15 CM EXTRA ;PAN         ;
55035488;5;UN                            ;CONVATEC #413570 AQUACEL AG + ;1X45 CM        ;MECHE       ;
99100977;10;UN                            ;CONVATEC #420619 AQUACEL FOAM ;12.5X12.5CM ADH;PAN         ;
99100944;10;UN                            ;CONVATEC #420621 AQUACEL FOAM ;ADH 17.5X17.5CM;PAN         ;
99101002;10;UN                            ;CONVATEC #420628 AQUA.FOAM AG ;ADH.17.5X17.5CM;PAN         ;
99100975;10;UN                            ;CONVATEC #420633 AQUACEL FOAM ;NON-ADH 10X10CM;PAN         ;
99100932;5;UN                            ;CONVATEC #420635 AQUACEL FOAM ;NON-ADH 15X15CM;PAN         ;
99100931;5;UN                            ;CONVATEC #420637 AQUACEL FOAM ;NON-ADH 15X20CM;PAN         ;
99101000;5;UN                            ;CONVATEC #420645 AQUA.FOAM AG ;N-ADH. 15X15CM ;PAN         ;
99101094;5;UN                            ;CONVATEC #420648 AQUA.FOAM AG ;17X20CM SACRAL ;PAN         ;
99101009;10;UN                            ;CONVATEC #420672 AQUACEL EXTRA;10X10 CM       ;PAN         ;
99101010;5;UN                            ;CONVATEC #420673 AQUACEL EXTRA;15X15 CM       ;PAN         ;
99100953;10;UN                            ;CONVATEC #420676 AQUACEL AG   ;EXTRA 10X10CM  ;PAN         ;
99113982;5;UN                            ;CONVATEC AQUAC.FOAM PRO#421580;24X21CM SACRUM ;PAN         ;
99113979;10;UN                            ;CONVATEC AQUAC.FOAM PRO#422357;10X10 CM       ;PAN         ;
99113984;10;UN                            ;CONVATEC AQUAC.FOAM PRO#422358;15X15 CM       ;PAN         ;
99101327;10;UN                            ;CONVATEC FOAMLITE #421559     ;10X10CM MOUSSE ;PAN         ;
99004976;5;UN                            ;DUODERM #403326 SIGNAL        ;10X10CM        ;PAN         ;
886319;500;ML                            ;PERS. HUILE AMANDE DOUCE      ;               ;LIQ         ;
99113874;3;UN                            ;DEXCOM G6 CAPTEUR             ;               ;CAPTEUR     ;
99113875;1;UN                            ;DEXCOM G6 EMETTEUR            ;               ;EMETTEUR    ;
99114362;1;UN                            ;DEXCOM G7 CAPTEUR             ;10 JOURS       ;CAPTEUR     ;
1111078;1;UN                            ;DEXCOM G7 CAPTEUR             ;DE REMPLACEMENT;XX          ;
1111063;1;UN                            ;DEXCOM G7 RECEPTEUR           ;               ;APP         ;
99100338;10;UN                            ;CONVATEC #403708 AQUACEL AG   ;10X10CM        ;PAN         ;
99002345;100;UN                            ;TERUMO TUBERCULINE SS01T2516  ;1ML 25G 5/8    ;SER         ;
55031654;1;G                             ;NITROGLYCERINE                ;               ;PD MAG      ;
2415089;5;UN                            ;HUMULIN R KWIKPEN 3ML         ;100 U/ML       ;STYLO INJ   ;
80073895;10;ML                            ;BIOGAIA GOUTTES AVEC VIT.D    ;PROBIOTIQUE    ;LIQ         ;
55016179;25;G                             ;ACIDE ASCORBIQUE              ;AS890          ;PD MAG      ;
99100481;25;G                             ;BACLOFENE USP                 ;BA110          ;PD MAG      ;
55010139;25;G                             ;BENZOYLE PEROXYDE             ;BE460          ;PD MAG      ;
99001519;100;CO/CAPS                       ;CAPSULE VIDE NO-0             ;               ;CAPS MAG    ;
99001519;1 000,00;CO/CAPS                       ;CAPSULE VIDE NO-4             ;               ;CAPS MAG    ;
55797042;25;G                             ;CLOTRIMAZOLE                  ;CL530          ;PD MAG      ;
99114475;5;G                             ;DILTIAZEM HCL USP             ;DI801          ;PD MAG      ;
99100423;100;G                             ;DISULFIRAM                    ;DI850          ;PD MAG      ;
914134;25;G                             ;KETAMINE (CHLORHYDRATE DE)    ;KE520          ;PD MAG      ;STUPÉFIANTS
964107;100;G                             ;KETOPROFENE MICRONISE USP     ;KE510          ;PD MAG      ;
911305;25;G                             ;LIDOCAINE BASE                ;LI610          ;PD MAG      ;
99113740;10;G                             ;NIFEDIPINE USP                ;NI967          ;PD MAG      ;
55380055;100;G                             ;NYSTATIN                      ;NY980          ;PD MAG      ;
55007353;100;G                             ;PETROLE GELEE                 ;PE180          ;ONG TOP     ;
99101018;100;ML                            ;POLYSORBATE 80                ;PO080          ;LIQ MAG     ;
80125630;24;UN                            ;ZONNIC NICOTINE 4MG           ;MENTHE GRIS    ;SACHET      ;
80125630;24;UN                            ;ZONNIC NICOTINE 4MG           ;MENTHE/VERT    ;SACHET      ;
80125630;24;UN                            ;ZONNIC NICOTINE 4MG           ;MENTH/POIV     ;SACHET      ;
55007212;15;ML                            ;HUILE MINERALE (COMPTE-GOUTTE);               ;LIQ         ;
55007212;20;ML                            ;HUILE MINERALE (COMPTE-GOUTTE);               ;LIQ         ;
55007212;25;ML                            ;HUILE MINERALE (COMPTE-GOUTTE);               ;LIQ         ;
2424703;60;G                             ;ROGAINE POUR FEMMES           ;5%;MOUSSE      ;
2424703;120;G                             ;ROGAINE POUR FEMMES           ;5%;MOUSSE      ;
80043792;20;UN                            ;MUCOCLEAR  20X4ML             ;3% NEBULISATION;SOL INH     ;
99101181;1;UN                            ;PEDIASURE PEPTIDE (237ML)     ;1 CAL/VANILLE  ;CAN LIQ     ;
99101183;1;UN                            ;VITAL PEPTIDE 1.5 CAL (220ML) ;               ;CAN LIQ     ;
55017867;1;UN                            ;ONE TOUCH VERIO FLEX          ;SYST. #023-195 ;GLUCO.      ;
991037;1;UN                            ;ONE TOUCH VERIO REFLECT       ;SYST. #023-901 ;GLUCO.      ;
99100122;1;UN                            ;ENFACARE ENFAMIL A+ 363G      ;               ;CAN PD      ;
99101338;1;UN                            ;NUTRAMIGEN A+LGG (561G)       ;               ;CAN PD      ;
99101278;1;UN                            ;PURAMINO A+ JUNIOR (400G)     ;               ;CAN PD      ;
55000784;100;G                             ;ACIDE ASCORBIQUE USP          ;NDC 0634       ;PD MAG      ;
99001519;1 000,00;UN                            ;CAPSULE CONI-SNAP #3 GRIS/JAUN;NDC 1124       ;CAPS MAG    ;
55021333;5;G                             ;CICLOPIROX OLAMINE USP        ;NDC 0313       ;PD MAG      ;
99114475;100;G                             ;DILTIAZEM HCL USP             ;NDC 0227       ;PD MAG      ;
99100423;50;G                             ;DISULFIRAM USP                ;NDC 1971       ;PD MAG      ;
99100423;100;G                             ;DISULFIRAM USP                ;NDC 1971       ;PD MAG      ;
55000929;25;G                             ;EDETATE DISODIUM USP          ;NDC 0545       ;PD MAG      ;
55005642;100;G                             ;HRT CREME DE BASE (FEMME)     ;NDC 0701       ;CR TOP      ;
55005642;500;G                             ;HRT CREME DE BASE (FEMME)     ;NDC 0701       ;CR TOP      ;
914134;25;G                             ;KETAMINE HYDROCHLORIDE USP    ;NDC 1754       ;PD MAG      ;STUPÉFIANTS
914134;100;G                             ;KETAMINE HYDROCHLORIDE USP    ;NDC 1754       ;PD MAG      ;STUPÉFIANTS
911305;25;G                             ;LIDOCAINE USP                 ;NDC 0081       ;PD MAG      ;
99101014;100;G                             ;MEDIDERM (BASE CREME)         ;NDC 0738       ;CR TOP      ;
55007835;25;G                             ;NALTREXONE HCL USP            ;NDC 0887       ;PD MAG      ;
99113823;10;G                             ;NEOMYCIN SULFATE USP          ;NDC 0348       ;PD MAG      ;
99113740;5;G                             ;NIFEDIPINE USP                ;NDC 0280       ;PD MAG      ;
99101014;100;G                             ;OLEABASE PLASTICIZED          ;NDC 2575       ;GEL         ;
99101222;473;ML                            ;ORA-BLEND                     ;NDC 2348       ;SUSP MAG    ;
55018213;5;G                             ;PHENYLEPHRINE HCL USP         ;NDC 0247       ;PD MAG      ;
55019092;25;UN                            ;POMPE MD BOUTEILLE S-AIR 100ML;NDC 7374       ;BOUT.       ;
55021985;25;UN                            ;POMPE MD BOUTEILLE S-AIR 30ML ;NDC 7371       ;BOUT.       ;
55038661;25;UN                            ;POMPE MD BOUTEILLE S-AIR 50ML ;NDC 7370       ;BOUT.       ;
99100772;25;G                             ;RANITIDINE HCL USP            ;NDC 0536       ;PD MAG      ;
55017162;100;G                             ;SODIUM METABISULFITE NF       ;NDC 0787       ;PD MAG      ;
963151;25;G                             ;SULFACETAMIDE SODIUM USP      ;NDC 0049       ;PD MAG      ;
99113732;5;G                             ;TETRACAINE USP                ;NDC 0374       ;PD MAG      ;
55007328;25;G                             ;TETRACYCLINE CHLORHYDRATE USP ;NDC 0053       ;PD MAG      ;
55020373;12;UN                            ;UNGUATOR POT BLANC 50/70ML    ;NDC 9408       ;POT MAG     ;
99101014;500;G                             ;VERSAPRO BASE CREME           ;NDC 2529       ;CR TOP      ;
2277778;71;G                             ;CRITIC-AID CLEAR #7573        ;PROTECTRICE    ;ONG TOP     ;
99003244;5;UN                            ;MEPILEX #294100               ;10X10CM        ;PAN         ;
99100602;5;UN                            ;MEPILEX #294300               ;15X15CM        ;PAN         ;
99003538;5;UN                            ;MEPILEX #294400               ;20X20CM        ;PAN         ;
99100366;5;UN                            ;MEPILEX AG #287100            ;10X10CM        ;PAN         ;
99100369;5;UN                            ;MEPILEX AG #287400            ;20X20CM        ;PAN         ;
99004313;1;UN                            ;MEPILEX BORDER #295300        ;10X10CM        ;PAN         ;
99100710;5;UN                            ;MEPILEX BORDER AG #395390     ;10X10CM        ;PAN         ;
99109693;10;UN                            ;MEPILEX BORDER FLEX #595011   ;12.5X12.5CM    ;PAN         ;
99109893;10;UN                            ;MEPILEX BORDER FLEX #595211   ;7.5X7.5CM      ;PAN         ;
99109593;10;UN                            ;MEPILEX BORDER FLEX #595311   ;10X10CM        ;PAN         ;
99110093;10;UN                            ;MEPILEX BORDER FLEX #595411   ;15X15CM        ;PAN         ;
99109793;10;UN                            ;MEPILEX BORDER FLEX #595611   ;15X20CM        ;PAN         ;
99114263;10;UN                            ;MEPILEX BORDER FLEX #595800   ;10X20CM        ;PAN         ;
99114550;5;UN                            ;MEPILEX UP #212100            ;10X10CM        ;PAN         ;
99101382;10;UN                            ;MEPILEX XT #211100            ;10X10CM        ;PAN         ;
55013243;1;UN                            ;TUBIGRIP D NATURAL #1437      ;10M            ;BAND.       ;
55013241;1;UN                            ;TUBIGRIP E NATURAL #1434      ;10M            ;BAND.       ;
80027142;1;UN                            ;NEILMED SINUS RINSE           ;ORIGINAL       ;TROUSSE     ;
99003783;1;UN                            ;BENEPROTEIN (227G)            ;#12151202      ;CAN PD      ;
99004135;1;UN                            ;ISOSOURCE 1.5 CAL 250ML       ;FIBRES/12505180;BOIT.LIQ    ;
99100789;1;UN                            ;PEPTAMEN JUNIOR 1.5 #12142283 ;SANS SAVEUR    ;BOIT.LIQ    ;
55039736;1;UN                            ;NOVOPEN 4                     ;BLEU           ;STYLO       ;
99100892;1;UN                            ;NEOCATE DHA & ARA (400G) NOUV.;NOURRISSONS    ;CAN PD      ;
99100284;1;UN                            ;VESPIDES COMBINES             ;1650 MCG       ;PD INJ      ;
96599942;2;UN                            ;SPORTVIS (1.2ML)              ;               ;SER INJ     ;
37818;250;ML                            ;CHLORURE SOD.BACT.            ;0.9%           ;LIQ         ;
66661002;1;UN                            ;ACCU CHEK AVIVA GLUCOMETRE    ;TEST & GO      ;GLUCO.      ;
9991041;1;UN                            ;ACCU CHEK GUIDE               ;GLUCOMETRE     ;GLUCO.      ;
80032965;100;CO/CAPS                       ;A.G.MELATONINE                ;5 MG           ;CAPS        ;
80086201;30;UN                            ;HEMAFORTE                     ;35 MG          ;CAPS        ;
80020979;30;CO/CAPS                       ;POLYRIDE FE                   ;350 MG         ;CAPS        ;
80045027;30;CO/CAPS                       ;POLYRIDE ULTRA FE             ;VIT.B12 + C    ;CAPS        ;
80045027;100;CO/CAPS                       ;POLYRIDE ULTRA FE             ;VIT.B12 + C    ;CAPS        ;
970379;1;UN                            ;MONA LISA 10                  ;CUT 380A QL    ;STERILET    ;
970115;1;UN                            ;MONA LISA 5 MINI              ;NT CUT380      ;STERILET    ;
970387;1;UN                            ;MONA LISA 5 STANDARD          ;NT CU380       ;STERILET    ;
99100528;1;UN                            ;CONTENANT PREPARATION SOL.OPHT;               ;CONT PREP   ;
99100585;1;UN                            ;CONTENANT SAC THER.PARENT.    ;               ;CONT SAC    ;
99113726;1;UN                            ;PQI-ENSEMBLE DE FOURNITURES   ;ADMIN.VACCIN   ;FOURNIT.    ;
433497;10;UN                            ;BACTIGRAS #66003650           ;10X10CM        ;PAN         ;
80072195;20;CO/CAPS                       ;FEROSOM FORTE                 ;VEGETALES      ;CAPS        ;
80060492;180;CO/CAPS                       ;FERTIL PRO                    ;LQ +RESVERATROL;CAPS        ;
80086935;90;CO/CAPS                       ;FERTIL PRO FEMMES REISHI      ;VITAMINES A    ;CO          ;
80031912;90;CO/CAPS                       ;FERTIL PRO MTL                ;               ;CAPS        ;
80042494;100;CO/CAPS                       ;FERTIL PRO UBIQ               ;50 MG          ;GELULE      ;
970581;1;UN                            ;AEROBIKA PEP OSCILLANTE       ;               ;APP         ;
80006505;60;CO/CAPS                       ;WEBBER COENZYME Q10+30        ;100 MG         ;GELULE      ;
911305;25;G                             ;LIDOCAINE BASE                ;               ;PD MAG      ;
99113740;5;G                             ;NIFEDIPINE                    ;               ;PD MAG      ;
99113740;10;G                             ;NIFEDIPINE                    ;               ;PD MAG      ;
99100894;50;UN                            ;CHLORURE DE SODIUM 10ML       ;0.9%           ;SER INJ     ;
80107241;354;ML                            ;KLEANLYTE                     ;KIT            ;SOL         ;
99113493;6;UN                            ;COAGUCHEK XS PT TEST PST      ;PHARMACIEN     ;BAN         ;
99113493;24;UN                            ;COAGUCHEK XS PT TEST PST      ;PHARMACIEN     ;BAN         ;
99002116;1;UN                            ;AEROCHAMBER 2GO               ;               ;APP         ;
80041590;100;CO/CAPS                       ;JAMP MAGNESIUM                ;100 MG         ;CO          ;
80043440;100;CO/CAPS                       ;JAMP MAGNESIUM                ;250 MG         ;CO          ;
80082915;90;CO/CAPS                       ;MAGNESIUM OXIDE               ;420 MG         ;CO          ;
2305003;100;CO/CAPS                       ;GEN CLOZAPINE                 ;50 MG          ;CO          ;
2322374;30;CO/CAPS                       ;ABILIFY                       ;2 MG           ;CO          ;
2471086;30;CO/CAPS                       ;APO ARIPIPRAZOLE              ;2 MG           ;CO          ;
2488000;30;CO/CAPS                       ;ARIPIPRAZOLE                  ;2 MG           ;CO          ;
2471094;30;CO/CAPS                       ;APO ARIPIPRAZOLE              ;5 MG           ;CO          ;
2471094;100;CO/CAPS                       ;APO ARIPIPRAZOLE              ;5 MG           ;CO          ;
2488019;30;CO/CAPS                       ;ARIPIPRAZOLE                  ;5 MG           ;CO          ;
2479354;30;CO/CAPS                       ;RIVA ARIPIPRAZOLE             ;5 MG           ;CO          ;
2471108;30;CO/CAPS                       ;APO ARIPIPRAZOLE              ;10 MG          ;CO          ;
2471108;100;CO/CAPS                       ;APO ARIPIPRAZOLE              ;10 MG          ;CO          ;
2479362;100;CO/CAPS                       ;RIVA ARIPIPRAZOLE             ;10 MG          ;CO          ;
2471116;30;CO/CAPS                       ;APO ARIPIPRAZOLE              ;15 MG          ;CO          ;
2471116;100;CO/CAPS                       ;APO ARIPIPRAZOLE              ;15 MG          ;CO          ;
2471124;30;CO/CAPS                       ;APO ARIPIPRAZOLE              ;20 MG          ;CO          ;
2471124;100;CO/CAPS                       ;APO ARIPIPRAZOLE              ;20 MG          ;CO          ;
2471132;30;CO/CAPS                       ;APO ARIPIPRAZOLE              ;30 MG          ;CO          ;
2554569;1;UN                            ;ABILIFY ASIMTUFII             ;720MG/2.4ML    ;SER INJ     ;
2554577;1;UN                            ;ABILIFY ASIMTUFII             ;960MG/3.2ML    ;SER INJ     ;
2420864;1;UN                            ;ABILIFY MAINTENA              ;300 MG         ;SUSP INJ    ;
2420872;1;UN                            ;ABILIFY MAINTENA              ;400 MG         ;SUSP INJ    ;
2540207;0,5;ML                            ;AREXVY                        ;120 MCG/0.5ML  ;SUSP INJ    ;
2544040;1;UN                            ;PQI-ABRYSVO                   ;120 MCG/0.5ML  ;TROUSSE     ;
2544040;1;UN                            ;ABRYSVO                       ;120 MCG/0.5ML  ;TROUSSE     ;
2544040;10;UN                            ;ABRYSVO                       ;120 MCG/0.5ML  ;TROUSSE     ;
2539055;30;CO/CAPS                       ;ABSORICA LD PLAQ.             ;16 MG          ;CAPS        ;
2539063;30;CO/CAPS                       ;ABSORICA LD PLAQ.             ;24 MG          ;CAPS        ;
2539071;30;CO/CAPS                       ;ABSORICA LD PLAQ.             ;32 MG          ;CAPS        ;
2463644;30;CO/CAPS                       ;ACARIZAX                      ;6-6 UI         ;CO SL       ;
2517450;100;CO/CAPS                       ;JAMP QUINAPRIL                ;10 MG          ;CO          ;
2396971;30;CO/CAPS                       ;EPURIS                        ;10 MG          ;CAPS        ;
582344;30;CO/CAPS                       ;ACCUTANE                      ;10 MG          ;CAPS        ;
2257955;30;CO/CAPS                       ;MYLAN CLARUS                  ;10 MG          ;CAPS        ;
2397013;30;CO/CAPS                       ;EPURIS                        ;40 MG          ;CAPS        ;
582352;30;CO/CAPS                       ;ACCUTANE                      ;40 MG          ;CAPS        ;
2257963;30;CO/CAPS                       ;MYLAN CLARUS                  ;40 MG          ;CAPS        ;
2459906;30;ML                            ;ACETYLCYSTEINE USP 30ML       ;200 MG/ML      ;SOL INJ     ;
2459906;10;ML                            ;ACETYLCYSTEINE 10ML           ;200 MG/ML      ;SOL INJ     ;
2243098;10;ML                            ;ACETYLCYSTEINE                ;200 MG/ML      ;SOL         ;
2243098;30;ML                            ;ACETYLCYSTEINE                ;200 MG/ML      ;SOL         ;
2422433;100;ML                            ;ACIDE ZOLEDRONIQUE            ;5 MG/100 ML    ;SOL INJ     ;
2353687;30;CO/CAPS                       ;APO RISEDRONATE               ;35 MG          ;CO          ;
2302209;4;CO/CAPS                       ;PMS RISEDRONATE               ;35 MG          ;CO          ;
2302209;30;CO/CAPS                       ;PMS RISEDRONATE               ;35 MG          ;CO          ;
2341077;4;CO/CAPS                       ;RIVA RISEDRONATE PLAQ.        ;35 MG          ;CO          ;
2327295;4;CO/CAPS                       ;SANDOZ RISEDRONATE            ;35 MG          ;CO          ;
1968300;5;ML                            ;ACULAR                        ;0.5%           ;GTE OPHT    ;
2245821;5;ML                            ;KETOROLAC                     ;0.5 %          ;GTE OPHT    ;
2369362;30;UN                            ;ACUVAIL (30X0.4ML)            ;0.45 %         ;SOL OPH     ;
725110;100;CO/CAPS                       ;NIFEDIPINE                    ;5 MG           ;CAPS        ;
2155907;28;CO/CAPS                       ;ADALAT XL                     ;SRT 30 MG      ;CO.LIB. PROL;
2349167;100;CO/CAPS                       ;MYLAN NIFEDIPINE ER           ;30 MG          ;CO.LIB. PROL;
2534843;100;CO/CAPS                       ;PRO NIFEDIPINE ER             ;30 MG          ;CO.LIB. PROL;
2321149;100;CO/CAPS                       ;MYLAN NIFEDIPINE ER           ;60 MG          ;CO.LIB. PROL;
2248808;100;CO/CAPS                       ;ADDERALL XR                   ;5 MG           ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2445492;100;CO/CAPS                       ;APO AMPHETAMINE XR            ;5 MG           ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2248809;100;CO/CAPS                       ;ADDERALL XR                   ;10 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2445506;100;CO/CAPS                       ;APO AMPHETAMINE XR            ;10 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2457296;100;CO/CAPS                       ;SANDOZ AMPHETAMINE XR         ;10 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2248810;100;CO/CAPS                       ;ADDERALL XR                   ;15 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2445514;100;CO/CAPS                       ;APO AMPHETAMINE XR            ;15 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2457318;100;CO/CAPS                       ;SANDOZ AMPHETAMINE XR         ;15 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2439255;100;CO/CAPS                       ;TEVA AMPHETAMINE XR           ;15 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2248811;100;CO/CAPS                       ;ADDERALL XR                   ;20 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2457326;100;CO/CAPS                       ;SANDOZ AMPHETAMINE XR         ;20 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2439263;100;CO/CAPS                       ;TEVA AMPHETAMINE XR           ;20 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2457334;100;CO/CAPS                       ;SANDOZ AMPHETAMINE XR         ;25 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2445549;100;CO/CAPS                       ;APO AMPHETAMINE XR            ;30 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2457342;100;CO/CAPS                       ;SANDOZ AMPHETAMINE XR         ;30 MG          ;CAPS LP     ;DROGUES CONTRÔLÉES PARTIE I
2473550;30;CO/CAPS                       ;ADDYI                         ;100 MG         ;CO          ;
2296462;50;CO/CAPS                       ;ADVAGRAF PLAQ                 ;0.5 MG         ;CAPS LP     ;
2296470;50;CO/CAPS                       ;ADVAGRAF PLAQ                 ;1 MG           ;CAPS LP     ;
2331667;50;CO/CAPS                       ;ADVAGRAF PLAQ                 ;3 MG           ;CAPS LP     ;
2296489;50;CO/CAPS                       ;ADVAGRAF PLAQ                 ;5 MG           ;CAPS LP     ;
2245126;120;DO                            ;ADVAIR                        ;25MCG/125MCG   ;INH         ;
2245127;120;DO                            ;ADVAIR                        ;25MCG/250MCG   ;INH         ;
2494507;60;DO                            ;PMS FLUTIC.PROP/SALMETEROL DPI;100-50 MCG     ;PD INH      ;
2240836;60;DO                            ;ADVAIR DISKUS                 ;250-50 MCG     ;PD INH      ;
2494515;60;DO                            ;PMS FLUTIC.PROP/SALMETEROL DPI;250-50 MCG     ;PD INH      ;
2495619;60;DO                            ;WIXELA INHUB                  ;500-50 MCG     ;PD INH      ;
2494523;60;DO                            ;PMS FLUTIC.PROP/SALMETEROL DPI;500-50 MCG     ;PD INH      ;
441643;1 000,00;CO/CAPS                       ;APO IBUPROFEN FCT             ;200 MG         ;CO          ;
2257912;100;CO/CAPS                       ;IBUPROFENE                    ;200 MG         ;CO          ;
2257912;500;CO/CAPS                       ;IBUPROFENE                    ;200 MG         ;CO          ;
2257912;1 000,00;CO/CAPS                       ;IBUPROFENE                    ;200 MG         ;CO          ;
2357283;24;CO/CAPS                       ;STANLEY IBUPROFENE            ;400 MG X-F     ;LIQUIGEL    ;
2248231;12;CO/CAPS                       ;ADVIL EXTRA-FORT              ;400 MG         ;LIQUIGEL    ;
2248231;24;CO/CAPS                       ;ADVIL EXTRA-FORT              ;400 MG         ;LIQUIGEL    ;
